,nosetip_x,nosetip_y,chin_x,chin_y,left_eye_corner_x,left_eye_corner_y,right_eye_corner_x,right_eye_corner_y,left_mouth_corner_x,left_mouth_corner_y,right_mouth_corner_x,right_mouth_corner_y,nose_end_point_x,nose_end_point_y,head_pose1_x,head_pose1_y,head_pose2_x,head_pose2_y,jerk_expected
312,605.0,1326.0,541.0,1545.0,410.0,1218.0,660.0,1182.0,469.0,1421.0,618.0,1402.0,1458,1756,595,1332,3540,2532,0
313,607.0,1325.0,544.0,1544.0,410.0,1219.0,661.0,1181.0,470.0,1420.0,621.0,1399.0,1452,1762,595,1332,3646,2581,0
314,606.0,1325.0,544.0,1545.0,409.0,1218.0,662.0,1181.0,470.0,1421.0,620.0,1401.0,1455,1757,595,1331,3838,2744,0
315,609.0,1329.0,547.0,1547.0,411.0,1219.0,665.0,1181.0,471.0,1424.0,624.0,1404.0,1479,1781,598,1334,3984,2871,0
316,607.0,1329.0,545.0,1547.0,408.0,1219.0,665.0,1183.0,470.0,1422.0,623.0,1402.0,1454,1789,595,1334,4352,3176,0
317,607.0,1329.0,545.0,1547.0,410.0,1219.0,666.0,1183.0,470.0,1421.0,623.0,1402.0,1457,1796,596,1334,4216,3087,0
318,608.0,1327.0,545.0,1545.0,411.0,1218.0,664.0,1181.0,470.0,1422.0,622.0,1401.0,1467,1780,597,1333,3798,2729,0
319,613.0,1330.0,549.0,1548.0,416.0,1218.0,666.0,1178.0,473.0,1425.0,624.0,1402.0,1537,1803,604,1335,3243,2300,0
320,608.0,1326.0,544.0,1546.0,411.0,1218.0,660.0,1180.0,470.0,1422.0,620.0,1401.0,1485,1758,597,1332,3390,2395,0
321,607.0,1325.0,544.0,1545.0,413.0,1218.0,659.0,1181.0,470.0,1420.0,620.0,1400.0,1472,1746,597,1331,3311,2332,0
322,604.0,1326.0,540.0,1543.0,409.0,1219.0,660.0,1184.0,468.0,1419.0,617.0,1401.0,1425,1757,592,1332,3700,2656,0
323,603.0,1328.0,539.0,1543.0,408.0,1220.0,659.0,1185.0,467.0,1420.0,616.0,1401.0,1422,1768,591,1334,3621,2594,0
324,603.0,1327.0,538.0,1543.0,409.0,1221.0,659.0,1185.0,467.0,1420.0,615.0,1401.0,1419,1767,591,1334,3457,2463,0
325,603.0,1328.0,539.0,1543.0,407.0,1222.0,659.0,1186.0,467.0,1420.0,616.0,1401.0,1405,1767,590,1334,3715,2656,0
326,602.0,1328.0,540.0,1542.0,408.0,1221.0,658.0,1186.0,468.0,1420.0,616.0,1401.0,1406,1753,590,1333,3641,2587,0
327,603.0,1328.0,538.0,1543.0,409.0,1220.0,658.0,1187.0,467.0,1418.0,615.0,1401.0,1413,1757,591,1334,3558,2554,0
328,602.0,1328.0,540.0,1544.0,408.0,1222.0,657.0,1187.0,468.0,1421.0,616.0,1402.0,1409,1743,590,1334,3624,2569,0
329,603.0,1330.0,537.0,1543.0,408.0,1223.0,658.0,1189.0,467.0,1420.0,615.0,1402.0,1395,1767,589,1336,3586,2567,0
330,603.0,1333.0,540.0,1543.0,405.0,1224.0,660.0,1184.0,466.0,1422.0,618.0,1401.0,1425,1818,590,1337,3694,2632,0
331,603.0,1330.0,539.0,1545.0,408.0,1222.0,660.0,1185.0,467.0,1422.0,616.0,1402.0,1435,1788,592,1336,3521,2519,0
332,606.0,1329.0,540.0,1547.0,409.0,1220.0,662.0,1185.0,467.0,1423.0,617.0,1404.0,1450,1780,594,1335,3722,2705,0
333,605.0,1331.0,542.0,1546.0,407.0,1223.0,662.0,1185.0,468.0,1424.0,619.0,1403.0,1434,1793,593,1337,3869,2783,0
334,607.0,1329.0,543.0,1548.0,409.0,1220.0,662.0,1186.0,470.0,1424.0,620.0,1405.0,1446,1755,595,1335,4019,2909,0
335,607.0,1331.0,540.0,1548.0,409.0,1222.0,662.0,1186.0,468.0,1425.0,617.0,1405.0,1453,1787,594,1337,3596,2600,0
336,607.0,1332.0,547.0,1547.0,405.0,1223.0,664.0,1183.0,469.0,1423.0,625.0,1401.0,1444,1813,594,1336,4534,3283,0
337,607.0,1332.0,543.0,1549.0,410.0,1223.0,661.0,1184.0,470.0,1426.0,619.0,1405.0,1477,1785,596,1337,3409,2422,0
338,606.0,1332.0,542.0,1548.0,409.0,1223.0,662.0,1184.0,468.0,1425.0,618.0,1404.0,1467,1802,595,1338,3500,2504,0
339,606.0,1331.0,541.0,1547.0,411.0,1221.0,662.0,1185.0,468.0,1424.0,618.0,1404.0,1460,1790,595,1337,3501,2523,0
340,605.0,1335.0,540.0,1547.0,407.0,1224.0,661.0,1186.0,467.0,1425.0,618.0,1404.0,1450,1817,593,1339,3597,2586,0
341,608.0,1337.0,542.0,1548.0,408.0,1223.0,665.0,1185.0,467.0,1425.0,621.0,1404.0,1472,1853,595,1340,3792,2773,0
342,608.0,1338.0,539.0,1550.0,409.0,1221.0,666.0,1186.0,466.0,1427.0,617.0,1407.0,1493,1857,596,1342,3600,2672,0
