,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,256.0,164.0,289.0,306.0,220.0,134.0,343.0,107.0,251.0,235.0,323.0,223.0,-197.0,208.0,253.0,179.0,-347.0,927.0,3.0721440554502286,-0.6260446247284005,1.489037207221956
1,256.0,164.0,289.0,306.0,220.0,134.0,343.0,107.0,251.0,235.0,323.0,223.0,-197.0,208.0,253.0,179.0,-347.0,927.0,3.0721440554502286,-0.6260446247284005,1.489037207221956
2,258.0,163.0,290.0,305.0,221.0,133.0,344.0,107.0,252.0,234.0,324.0,222.0,-174.0,180.0,256.0,177.0,-328.0,844.0,3.1162650306061113,-0.6145661009253051,1.4708981654283975
3,258.0,164.0,291.0,305.0,220.0,134.0,344.0,107.0,252.0,235.0,324.0,222.0,-186.0,210.0,255.0,179.0,-316.0,922.0,3.0699180565569293,-0.612670474698156,1.4835736613638593
4,258.0,163.0,291.0,305.0,220.0,134.0,344.0,107.0,251.0,234.0,324.0,222.0,-171.0,208.0,256.0,179.0,-279.0,906.0,3.0680197534557876,-0.5860725250199559,1.4857576210171013
5,257.0,164.0,290.0,306.0,220.0,135.0,343.0,107.0,252.0,235.0,324.0,222.0,-191.0,208.0,254.0,179.0,-332.0,921.0,3.077704384670099,-0.6211259910356398,1.4789341590338638
6,258.0,164.0,291.0,305.0,219.0,135.0,344.0,107.0,252.0,235.0,325.0,222.0,-180.0,206.0,256.0,179.0,-301.0,925.0,3.0791760859616484,-0.593834101444601,1.4741182164354583
7,258.0,164.0,291.0,305.0,220.0,135.0,344.0,107.0,252.0,235.0,324.0,223.0,-173.0,207.0,256.0,179.0,-287.0,905.0,3.0743877747624677,-0.5923336023757891,1.4801142908162688
8,258.0,164.0,291.0,306.0,220.0,135.0,343.0,107.0,252.0,235.0,324.0,223.0,-177.0,206.0,255.0,180.0,-300.0,897.0,3.080474686290486,-0.6053269721403629,1.4760171934656892
9,256.0,164.0,289.0,306.0,220.0,134.0,343.0,107.0,251.0,235.0,323.0,223.0,-197.0,208.0,253.0,179.0,-347.0,927.0,3.0721440554502286,-0.6260446247284005,1.489037207221956
10,257.0,165.0,289.0,306.0,220.0,134.0,343.0,107.0,251.0,235.0,323.0,223.0,-197.0,212.0,253.0,180.0,-343.0,925.0,3.0664840825073587,-0.6299266245605412,1.4915923119327559
11,256.0,164.0,287.0,307.0,221.0,135.0,344.0,110.0,251.0,236.0,322.0,224.0,-193.0,196.0,254.0,180.0,-356.0,904.0,3.086444274476733,-0.6215648552529891,1.4959812650661153
12,256.0,165.0,288.0,307.0,219.0,137.0,344.0,110.0,251.0,237.0,323.0,225.0,-184.0,194.0,254.0,180.0,-329.0,915.0,3.098704760523854,-0.5932722542000306,1.4783463791199387
13,257.0,165.0,289.0,306.0,219.0,138.0,344.0,109.0,251.0,237.0,324.0,224.0,-177.0,187.0,255.0,180.0,-315.0,903.0,3.112292257060421,-0.5824060989190287,1.4643580144409043
14,256.0,165.0,287.0,307.0,219.0,137.0,343.0,110.0,250.0,237.0,322.0,225.0,-186.0,193.0,254.0,181.0,-337.0,906.0,3.0980622387892622,-0.6002392587800113,1.4812733929987518
15,257.0,163.0,289.0,307.0,220.0,136.0,344.0,108.0,252.0,236.0,324.0,224.0,-183.0,196.0,255.0,180.0,-323.0,919.0,3.0925854283461858,-0.5940865736038712,1.4782563428939743
16,257.0,164.0,289.0,306.0,219.0,137.0,344.0,109.0,251.0,237.0,324.0,224.0,-174.0,190.0,256.0,180.0,-303.0,908.0,3.104157426389438,-0.5741013812914874,1.4699776047155528
17,256.0,164.0,287.0,307.0,220.0,136.0,343.0,109.0,251.0,236.0,322.0,224.0,-193.0,196.0,253.0,180.0,-354.0,905.0,3.092658575056409,-0.6200308636463296,1.4855886932804883
18,255.0,165.0,286.0,308.0,219.0,136.0,343.0,110.0,250.0,237.0,322.0,225.0,-196.0,196.0,253.0,181.0,-359.0,923.0,3.0910711451475437,-0.6120150971405662,1.488953764418603
19,257.0,164.0,288.0,307.0,219.0,137.0,344.0,109.0,251.0,237.0,324.0,224.0,-184.0,189.0,255.0,180.0,-333.0,917.0,3.1070462435734383,-0.5900444549626016,1.472002583306249
20,255.0,164.0,286.0,308.0,219.0,136.0,343.0,110.0,250.0,237.0,322.0,225.0,-195.0,193.0,253.0,180.0,-360.0,922.0,3.0949446016356896,-0.6083381207164862,1.4876865990714585
21,256.0,164.0,287.0,307.0,220.0,136.0,344.0,110.0,251.0,236.0,322.0,225.0,-179.0,196.0,255.0,180.0,-318.0,896.0,3.0865926364192475,-0.5952949047564607,1.492370311261618
22,256.0,164.0,286.0,308.0,220.0,136.0,343.0,109.0,250.0,236.0,322.0,225.0,-198.0,194.0,253.0,180.0,-370.0,914.0,3.093017600203635,-0.6215774943709823,1.490786455365162
23,256.0,164.0,287.0,307.0,220.0,136.0,344.0,109.0,251.0,236.0,322.0,225.0,-193.0,192.0,254.0,180.0,-357.0,910.0,3.0957269603430615,-0.6131786595994176,1.4874422052017042
24,256.0,164.0,287.0,307.0,220.0,136.0,344.0,109.0,251.0,236.0,322.0,225.0,-193.0,192.0,254.0,180.0,-357.0,910.0,3.0957269603430615,-0.6131786595994176,1.4874422052017042
25,256.0,164.0,287.0,307.0,220.0,136.0,344.0,110.0,251.0,236.0,322.0,225.0,-179.0,196.0,255.0,180.0,-318.0,896.0,3.0865926364192475,-0.5952949047564607,1.492370311261618
26,257.0,164.0,288.0,306.0,220.0,136.0,344.0,109.0,251.0,236.0,323.0,224.0,-184.0,193.0,255.0,180.0,-333.0,903.0,3.096145536805347,-0.6017567532112955,1.4824177240583618
