,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,283.0,184.0,315.0,298.0,246.0,166.0,352.0,138.0,277.0,243.0,342.0,229.0,33.0,198.0,285.0,196.0,23.0,594.0,-3.116882488630369,-0.4891902885462736,1.3841808942064546
1,284.0,184.0,316.0,298.0,246.0,167.0,353.0,138.0,277.0,243.0,342.0,228.0,40.0,191.0,286.0,195.0,32.0,583.0,-3.103515890367928,-0.4735312027103924,1.3760957601275434
2,284.0,183.0,316.0,298.0,246.0,167.0,353.0,138.0,277.0,243.0,342.0,228.0,41.0,187.0,286.0,195.0,34.0,579.0,-3.0975849218377065,-0.46808591197588806,1.3749384068347603
3,284.0,184.0,316.0,298.0,246.0,167.0,352.0,138.0,277.0,243.0,342.0,228.0,39.0,196.0,285.0,196.0,33.0,587.0,-3.11074218698374,-0.4796294699355139,1.3754624298197073
4,284.0,184.0,316.0,298.0,246.0,167.0,352.0,138.0,277.0,243.0,342.0,228.0,39.0,196.0,285.0,196.0,33.0,587.0,-3.11074218698374,-0.4796294699355139,1.3754624298197073
5,284.0,184.0,315.0,298.0,246.0,166.0,352.0,138.0,277.0,243.0,342.0,228.0,35.0,198.0,285.0,196.0,26.0,591.0,-3.1170175825258855,-0.4877119373713956,1.382993253543382
6,284.0,184.0,315.0,298.0,246.0,166.0,352.0,138.0,277.0,243.0,342.0,228.0,35.0,198.0,285.0,196.0,26.0,591.0,-3.1170175825258855,-0.4877119373713956,1.382993253543382
7,285.0,184.0,316.0,298.0,247.0,166.0,352.0,138.0,277.0,242.0,342.0,228.0,36.0,203.0,285.0,196.0,29.0,593.0,-3.12853675360086,-0.4939795299893205,1.387389651131549
8,285.0,183.0,315.0,298.0,247.0,166.0,352.0,138.0,277.0,242.0,342.0,228.0,36.0,197.0,285.0,195.0,25.0,585.0,-3.117994786029057,-0.49119437804611404,1.3876169853958205
9,284.0,184.0,316.0,298.0,246.0,166.0,352.0,138.0,277.0,243.0,342.0,229.0,37.0,201.0,285.0,196.0,32.0,597.0,-3.124682738038845,-0.48344508663631286,1.3842797743064559
10,284.0,184.0,316.0,298.0,246.0,167.0,353.0,138.0,277.0,243.0,342.0,228.0,40.0,191.0,286.0,195.0,32.0,583.0,-3.103515890367928,-0.4735312027103924,1.3760957601275434
11,284.0,184.0,316.0,298.0,246.0,166.0,353.0,138.0,277.0,243.0,342.0,229.0,38.0,197.0,286.0,196.0,32.0,593.0,-3.1177768647888833,-0.4769213476101183,1.384939217604442
12,284.0,184.0,316.0,298.0,246.0,167.0,353.0,138.0,277.0,243.0,342.0,229.0,40.0,192.0,286.0,196.0,33.0,586.0,-3.106729262039906,-0.47223235361873744,1.3789258068329147
13,284.0,184.0,316.0,298.0,246.0,166.0,353.0,138.0,277.0,243.0,342.0,228.0,38.0,195.0,285.0,195.0,31.0,591.0,-3.1145925451648457,-0.4781644097447457,1.3821225047813814
14,284.0,184.0,316.0,299.0,246.0,167.0,352.0,139.0,277.0,243.0,342.0,228.0,39.0,198.0,285.0,196.0,34.0,590.0,-3.1157430376459865,-0.47814394009942723,1.3794232522881313
15,284.0,184.0,315.0,298.0,246.0,167.0,352.0,139.0,277.0,243.0,341.0,228.0,40.0,194.0,285.0,196.0,31.0,580.0,-3.1095517229009784,-0.48006312742350715,1.3808360591583475
16,284.0,184.0,316.0,298.0,246.0,167.0,352.0,139.0,277.0,243.0,341.0,228.0,42.0,196.0,285.0,196.0,36.0,584.0,-3.113981988465879,-0.4767323063052413,1.3792607047039376
17,284.0,184.0,315.0,298.0,246.0,167.0,352.0,139.0,277.0,243.0,341.0,228.0,40.0,194.0,285.0,196.0,31.0,580.0,-3.1095517229009784,-0.48006312742350715,1.3808360591583475
18,284.0,184.0,315.0,299.0,247.0,166.0,353.0,140.0,277.0,243.0,341.0,229.0,36.0,197.0,285.0,196.0,23.0,589.0,-3.120355736251261,-0.4890155314627041,1.3957461422248685
19,284.0,184.0,315.0,298.0,246.0,167.0,352.0,139.0,277.0,243.0,341.0,228.0,40.0,194.0,285.0,196.0,31.0,580.0,-3.1095517229009784,-0.48006312742350715,1.3808360591583475
20,284.0,184.0,315.0,298.0,247.0,166.0,354.0,140.0,277.0,243.0,341.0,229.0,42.0,190.0,286.0,196.0,28.0,579.0,-3.109481931692418,-0.4752558161776462,1.3949206547143906
21,284.0,185.0,315.0,298.0,246.0,167.0,352.0,139.0,277.0,243.0,341.0,229.0,39.0,199.0,285.0,196.0,31.0,587.0,-3.1189198066434396,-0.48456482354709945,1.3849866280075005
22,284.0,184.0,315.0,299.0,246.0,167.0,352.0,140.0,277.0,243.0,341.0,229.0,41.0,197.0,285.0,196.0,33.0,586.0,-3.1175326178002605,-0.47728998875971684,1.3875784205591355
23,284.0,184.0,315.0,299.0,247.0,168.0,352.0,140.0,277.0,243.0,341.0,229.0,39.0,193.0,285.0,196.0,27.0,577.0,-3.1058576583954594,-0.4857458977838423,1.3830916397028903
24,284.0,185.0,315.0,298.0,246.0,166.0,352.0,139.0,277.0,243.0,341.0,229.0,37.0,203.0,285.0,196.0,29.0,595.0,-3.129872401628305,-0.4897203323170783,1.3910896958368164
25,283.0,185.0,314.0,298.0,246.0,166.0,352.0,139.0,276.0,243.0,340.0,229.0,33.0,199.0,284.0,196.0,19.0,589.0,-3.121541909651797,-0.49467456669989157,1.3931443899876854
26,284.0,185.0,314.0,299.0,246.0,167.0,351.0,139.0,277.0,243.0,341.0,229.0,32.0,204.0,284.0,197.0,20.0,593.0,-3.1248254858974778,-0.5021005440757219,1.3873423427590716
27,284.0,185.0,314.0,299.0,246.0,167.0,351.0,139.0,276.0,243.0,340.0,229.0,32.0,203.0,284.0,197.0,19.0,590.0,-3.1240578041930553,-0.5019272404800997,1.3893994030404746
28,283.0,185.0,315.0,298.0,246.0,167.0,351.0,139.0,276.0,244.0,340.0,229.0,34.0,200.0,284.0,197.0,23.0,587.0,-3.1165883410770445,-0.49466418928399103,1.3818339339505772
29,282.0,185.0,315.0,298.0,245.0,167.0,351.0,139.0,276.0,244.0,340.0,229.0,35.0,199.0,284.0,196.0,28.0,590.0,-3.1147643495365918,-0.4841711960501478,1.3788544447147149
