,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,296.0,162.0,289.0,287.0,220.0,125.0,347.0,124.0,247.0,218.0,325.0,217.0,451.0,190.0,296.0,175.0,453.0,664.0,3.009161472547782,0.3077157368224975,1.5320386108106974
1,296.0,162.0,289.0,287.0,220.0,125.0,347.0,123.0,248.0,218.0,325.0,217.0,473.0,170.0,297.0,174.0,484.0,649.0,3.0380224812342913,0.3435861557044786,1.5317183821449636
2,296.0,162.0,289.0,287.0,220.0,125.0,347.0,123.0,247.0,218.0,325.0,217.0,458.0,157.0,296.0,173.0,469.0,620.0,3.0617264050784314,0.32493172801116454,1.5379518986983252
3,296.0,162.0,289.0,287.0,220.0,125.0,347.0,123.0,247.0,218.0,325.0,217.0,458.0,157.0,296.0,173.0,469.0,620.0,3.0617264050784314,0.32493172801116454,1.5379518986983252
4,296.0,162.0,290.0,287.0,220.0,126.0,347.0,124.0,248.0,218.0,325.0,218.0,473.0,166.0,297.0,174.0,485.0,647.0,3.046443662102341,0.34159808601000125,1.531915052023405
5,296.0,162.0,289.0,287.0,220.0,126.0,347.0,124.0,247.0,218.0,325.0,218.0,451.0,177.0,296.0,175.0,456.0,645.0,3.0309630998858075,0.3110358992912252,1.5346802986111334
6,296.0,162.0,289.0,287.0,220.0,126.0,347.0,124.0,247.0,218.0,325.0,218.0,451.0,177.0,296.0,175.0,456.0,645.0,3.0309630998858075,0.3110358992912252,1.5346802986111334
7,297.0,162.0,290.0,288.0,220.0,126.0,347.0,124.0,248.0,219.0,326.0,218.0,471.0,176.0,297.0,175.0,481.0,661.0,3.0304226865896324,0.33420300907494466,1.5274606678218
8,296.0,163.0,289.0,288.0,221.0,126.0,347.0,125.0,248.0,219.0,325.0,218.0,461.0,188.0,297.0,176.0,466.0,662.0,3.0151858015531996,0.3251626249555705,1.5330740380473207
9,296.0,163.0,290.0,288.0,220.0,126.0,347.0,124.0,248.0,219.0,326.0,219.0,487.0,156.0,298.0,174.0,505.0,645.0,3.0640782535556403,0.3610807206206358,1.5337289860107581
10,296.0,163.0,290.0,288.0,220.0,126.0,347.0,124.0,248.0,219.0,326.0,219.0,487.0,156.0,298.0,174.0,505.0,645.0,3.0640782535556403,0.3610807206206358,1.5337289860107581
11,297.0,162.0,291.0,288.0,221.0,126.0,348.0,124.0,248.0,219.0,326.0,219.0,477.0,165.0,298.0,174.0,490.0,653.0,3.0503406859497497,0.3432864979487561,1.533614297036644
12,297.0,162.0,291.0,288.0,221.0,126.0,348.0,124.0,248.0,219.0,326.0,219.0,477.0,165.0,298.0,174.0,490.0,653.0,3.0503406859497497,0.3432864979487561,1.533614297036644
13,297.0,162.0,291.0,288.0,220.0,126.0,348.0,124.0,248.0,219.0,326.0,218.0,474.0,172.0,298.0,174.0,485.0,665.0,3.0357692855642986,0.3358760249433409,1.5278310215088386
14,297.0,162.0,291.0,287.0,221.0,125.0,348.0,123.0,248.0,219.0,326.0,218.0,494.0,165.0,299.0,173.0,511.0,657.0,3.046467653561992,0.3691647299344731,1.5301359302871973
15,297.0,162.0,290.0,288.0,220.0,126.0,348.0,123.0,248.0,219.0,326.0,218.0,462.0,177.0,297.0,175.0,470.0,658.0,3.029667201254896,0.3205967043045355,1.5283217391208668
16,297.0,162.0,290.0,288.0,220.0,126.0,348.0,123.0,248.0,219.0,326.0,218.0,462.0,177.0,297.0,175.0,470.0,658.0,3.029667201254896,0.3205967043045355,1.5283217391208668
17,296.0,162.0,290.0,288.0,220.0,126.0,347.0,123.0,248.0,219.0,326.0,218.0,464.0,173.0,297.0,174.0,475.0,653.0,3.0347188081063927,0.3257354737971699,1.5262334271492939
18,296.0,162.0,290.0,288.0,220.0,126.0,347.0,124.0,248.0,219.0,326.0,218.0,469.0,179.0,297.0,175.0,478.0,667.0,3.026253577290158,0.3300371879962862,1.5265344236004206
19,297.0,162.0,290.0,288.0,221.0,127.0,347.0,126.0,248.0,219.0,326.0,218.0,465.0,178.0,297.0,175.0,473.0,656.0,3.0301507348828993,0.32816132674259424,1.5318657373927107
20,297.0,162.0,290.0,288.0,221.0,127.0,347.0,126.0,248.0,219.0,326.0,218.0,465.0,178.0,297.0,175.0,473.0,656.0,3.0301507348828993,0.32816132674259424,1.5318657373927107
21,296.0,163.0,289.0,288.0,220.0,126.0,347.0,124.0,248.0,219.0,325.0,218.0,474.0,171.0,297.0,174.0,485.0,651.0,3.039846375801818,0.3450580884731437,1.5321811727809482
22,296.0,163.0,289.0,288.0,220.0,126.0,347.0,124.0,248.0,219.0,325.0,218.0,474.0,171.0,297.0,174.0,485.0,651.0,3.039846375801818,0.3450580884731437,1.5321811727809482
23,295.0,164.0,289.0,289.0,220.0,127.0,346.0,124.0,247.0,220.0,325.0,218.0,456.0,111.0,296.0,172.0,482.0,537.0,-3.1349861679623277,0.33823712857312127,1.5474716818274845
24,295.0,164.0,289.0,289.0,220.0,127.0,346.0,124.0,247.0,220.0,325.0,218.0,456.0,111.0,296.0,172.0,482.0,537.0,-3.1349861679623277,0.33823712857312127,1.5474716818274845
25,294.0,164.0,288.0,288.0,220.0,127.0,346.0,124.0,247.0,219.0,325.0,218.0,441.0,142.0,295.0,174.0,457.0,571.0,3.094078426642866,0.31525024166408794,1.5415933548144796
26,296.0,163.0,289.0,289.0,220.0,127.0,346.0,125.0,247.0,219.0,325.0,218.0,517.0,165.0,299.0,174.0,542.0,655.0,3.049441520004366,0.4150136656784356,1.5295292588211677
27,296.0,163.0,289.0,289.0,220.0,127.0,346.0,125.0,247.0,219.0,325.0,218.0,517.0,165.0,299.0,174.0,542.0,655.0,3.049441520004366,0.4150136656784356,1.5295292588211677
