,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,393.0,202.0,382.0,307.0,311.0,147.0,437.0,137.0,340.0,246.0,415.0,240.0,763.0,306.0,400.0,203.0,820.0,854.0,2.868617670339695,0.4778365961006501,1.4479203168022157
1,395.0,202.0,383.0,310.0,313.0,148.0,440.0,138.0,341.0,247.0,418.0,241.0,766.0,312.0,402.0,204.0,821.0,872.0,2.8708599249131486,0.46708452225146146,1.455152003222302
2,395.0,202.0,383.0,310.0,313.0,148.0,440.0,138.0,341.0,247.0,418.0,241.0,766.0,312.0,402.0,204.0,821.0,872.0,2.8708599249131486,0.46708452225146146,1.455152003222302
3,389.0,205.0,380.0,308.0,305.0,146.0,438.0,139.0,335.0,246.0,416.0,242.0,726.0,311.0,395.0,204.0,768.0,897.0,2.8919528369888448,0.3916378290816608,1.4745369567503812
4,389.0,205.0,380.0,308.0,305.0,146.0,438.0,139.0,335.0,246.0,416.0,242.0,726.0,311.0,395.0,204.0,768.0,897.0,2.8919528369888448,0.3916378290816608,1.4745369567503812
5,400.0,197.0,382.0,305.0,320.0,146.0,438.0,138.0,344.0,244.0,415.0,239.0,770.0,294.0,405.0,201.0,830.0,800.0,2.8766022197943517,0.5369219645761774,1.4649226417199752
6,401.0,198.0,383.0,306.0,321.0,146.0,439.0,138.0,344.0,244.0,415.0,239.0,780.0,302.0,406.0,202.0,838.0,812.0,2.8640266254874316,0.5472985560750232,1.4609889790476853
7,401.0,198.0,383.0,306.0,321.0,146.0,439.0,138.0,344.0,244.0,415.0,239.0,780.0,302.0,406.0,202.0,838.0,812.0,2.8640266254874316,0.5472985560750232,1.4609889790476853
8,401.0,198.0,383.0,306.0,321.0,146.0,439.0,138.0,344.0,244.0,415.0,239.0,780.0,302.0,406.0,202.0,838.0,812.0,2.8640266254874316,0.5472985560750232,1.4609889790476853
9,401.0,199.0,382.0,307.0,321.0,146.0,439.0,139.0,344.0,245.0,415.0,241.0,783.0,301.0,406.0,203.0,843.0,820.0,2.8731987395192875,0.551586897182188,1.4706398047822187
10,404.0,195.0,382.0,303.0,325.0,146.0,439.0,138.0,346.0,242.0,416.0,237.0,767.0,299.0,407.0,201.0,818.0,776.0,2.858761189136207,0.5561593253781988,1.465383680454971
11,403.0,196.0,382.0,304.0,323.0,146.0,440.0,139.0,345.0,242.0,416.0,237.0,761.0,301.0,406.0,201.0,808.0,788.0,2.864352239330288,0.5309215866685981,1.472500214103244
12,401.0,197.0,378.0,304.0,321.0,146.0,439.0,140.0,341.0,242.0,414.0,238.0,748.0,312.0,403.0,202.0,782.0,798.0,2.856847722623213,0.5169431376340099,1.4856695789120808
13,401.0,197.0,378.0,304.0,321.0,146.0,439.0,140.0,341.0,242.0,414.0,238.0,748.0,312.0,403.0,202.0,782.0,798.0,2.856847722623213,0.5169431376340099,1.4856695789120808
14,400.0,196.0,381.0,305.0,321.0,146.0,440.0,139.0,342.0,242.0,416.0,238.0,752.0,302.0,404.0,201.0,795.0,802.0,2.8741445513781527,0.5034655203018059,1.4819152865726022
15,405.0,197.0,384.0,304.0,324.0,146.0,440.0,139.0,347.0,244.0,417.0,239.0,773.0,293.0,408.0,201.0,832.0,788.0,2.8769478051204165,0.5474791875287772,1.4693779964666713
16,405.0,193.0,381.0,302.0,325.0,145.0,439.0,138.0,346.0,241.0,415.0,237.0,762.0,291.0,407.0,199.0,814.0,766.0,2.8737881867822157,0.5559958448508068,1.478371498109725
17,405.0,193.0,381.0,302.0,325.0,145.0,439.0,138.0,346.0,241.0,415.0,237.0,762.0,291.0,407.0,199.0,814.0,766.0,2.8737881867822157,0.5559958448508068,1.478371498109725
18,405.0,193.0,381.0,302.0,325.0,145.0,439.0,138.0,346.0,241.0,415.0,237.0,762.0,291.0,407.0,199.0,814.0,766.0,2.8737881867822157,0.5559958448508068,1.478371498109725
19,401.0,195.0,381.0,305.0,320.0,146.0,440.0,139.0,342.0,242.0,416.0,237.0,747.0,299.0,404.0,201.0,792.0,799.0,2.878241396926297,0.49429348589568917,1.4811073708132374
20,401.0,195.0,381.0,304.0,321.0,145.0,440.0,139.0,343.0,242.0,415.0,239.0,753.0,291.0,404.0,200.0,803.0,792.0,2.893543699042792,0.5108623032703635,1.4914822368694431
21,403.0,195.0,381.0,304.0,323.0,147.0,439.0,139.0,344.0,242.0,416.0,237.0,754.0,300.0,405.0,201.0,801.0,780.0,2.8647534967175035,0.5276013917462169,1.4720811149947688
22,403.0,193.0,381.0,303.0,323.0,145.0,439.0,139.0,344.0,240.0,415.0,236.0,752.0,289.0,405.0,199.0,801.0,770.0,2.884479556320232,0.527899846605832,1.4856258402905407
23,403.0,193.0,381.0,303.0,323.0,145.0,439.0,139.0,344.0,240.0,415.0,236.0,752.0,289.0,405.0,199.0,801.0,770.0,2.884479556320232,0.527899846605832,1.4856258402905407
24,401.0,197.0,379.0,304.0,321.0,146.0,439.0,140.0,342.0,243.0,414.0,239.0,752.0,304.0,404.0,202.0,793.0,794.0,2.869410316817226,0.5209044773079448,1.485875414530187
25,401.0,195.0,378.0,303.0,321.0,146.0,437.0,139.0,342.0,241.0,413.0,237.0,751.0,301.0,403.0,201.0,793.0,778.0,2.863695764328416,0.5351661071209751,1.4784392194332974
26,401.0,195.0,378.0,303.0,321.0,146.0,437.0,139.0,342.0,241.0,413.0,237.0,751.0,301.0,403.0,201.0,793.0,778.0,2.863695764328416,0.5351661071209751,1.4784392194332974
