,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,278.0,171.0,303.0,281.0,246.0,150.0,346.0,130.0,270.0,227.0,330.0,218.0,29.0,182.0,278.0,183.0,-7.0,531.0,3.119519675518695,-0.5328814476792968,1.4676400937396177
1,278.0,171.0,303.0,281.0,246.0,151.0,347.0,130.0,270.0,227.0,330.0,217.0,29.0,175.0,278.0,182.0,-10.0,522.0,3.1390336609083516,-0.5315574656830346,1.4589819127751649
2,278.0,172.0,303.0,280.0,247.0,149.0,347.0,130.0,270.0,227.0,330.0,218.0,24.0,184.0,278.0,183.0,-17.0,534.0,3.1112227737750326,-0.5508694430385119,1.47794027554926
3,278.0,172.0,303.0,280.0,248.0,149.0,347.0,131.0,271.0,227.0,329.0,218.0,25.0,179.0,278.0,183.0,-21.0,516.0,3.1266427518371103,-0.5621165183627311,1.4761894832462952
4,279.0,172.0,303.0,280.0,248.0,149.0,347.0,131.0,271.0,227.0,330.0,218.0,29.0,182.0,279.0,183.0,-13.0,523.0,3.1172922811334995,-0.5495960628205819,1.4792196712306063
5,279.0,172.0,303.0,280.0,247.0,149.0,347.0,130.0,271.0,227.0,331.0,217.0,25.0,185.0,279.0,183.0,-13.0,533.0,3.11091214108318,-0.5504558329925731,1.4743526354638459
6,279.0,171.0,304.0,280.0,247.0,150.0,348.0,130.0,271.0,226.0,331.0,217.0,34.0,178.0,279.0,182.0,-3.0,525.0,3.125572645436967,-0.5284805977472844,1.467441361997732
7,279.0,172.0,304.0,279.0,247.0,150.0,347.0,130.0,271.0,226.0,331.0,217.0,35.0,183.0,279.0,182.0,1.0,526.0,3.1161729763501156,-0.5332929042000326,1.46729713766143
8,279.0,171.0,304.0,280.0,248.0,150.0,347.0,130.0,271.0,226.0,331.0,217.0,29.0,182.0,279.0,182.0,-10.0,525.0,3.1195715891089644,-0.548507764058888,1.4695875271337109
9,279.0,172.0,304.0,279.0,247.0,150.0,347.0,130.0,271.0,226.0,331.0,217.0,35.0,183.0,279.0,182.0,1.0,526.0,3.1161729763501156,-0.5332929042000326,1.46729713766143
10,279.0,171.0,303.0,281.0,248.0,149.0,347.0,130.0,271.0,227.0,330.0,218.0,23.0,179.0,278.0,182.0,-23.0,523.0,3.125410797218944,-0.5587765139092903,1.474901445441118
11,279.0,172.0,303.0,280.0,247.0,149.0,347.0,130.0,271.0,227.0,331.0,217.0,25.0,185.0,279.0,183.0,-13.0,533.0,3.11091214108318,-0.5504558329925731,1.4743526354638459
12,279.0,171.0,304.0,281.0,247.0,150.0,348.0,130.0,271.0,226.0,331.0,217.0,33.0,181.0,279.0,182.0,-2.0,530.0,3.118854278774581,-0.5289467404398772,1.4701040317058012
13,278.0,172.0,303.0,280.0,247.0,149.0,347.0,130.0,271.0,227.0,331.0,217.0,24.0,184.0,278.0,182.0,-16.0,533.0,3.113796473302515,-0.5518333259869733,1.472737888014003
14,278.0,172.0,303.0,280.0,247.0,149.0,347.0,130.0,271.0,227.0,331.0,217.0,24.0,184.0,278.0,182.0,-16.0,533.0,3.113796473302515,-0.5518333259869733,1.472737888014003
15,278.0,172.0,303.0,280.0,249.0,149.0,348.0,131.0,271.0,227.0,329.0,218.0,23.0,178.0,278.0,182.0,-26.0,517.0,3.125570436945522,-0.569311533344765,1.4820093099913942
16,278.0,172.0,303.0,280.0,249.0,149.0,348.0,131.0,271.0,227.0,329.0,219.0,23.0,179.0,278.0,183.0,-25.0,521.0,3.1206042345249476,-0.5643292831663511,1.4856689928479332
17,278.0,172.0,303.0,281.0,248.0,149.0,348.0,131.0,271.0,227.0,329.0,219.0,23.0,179.0,278.0,183.0,-24.0,523.0,3.1223776395995433,-0.5597355846207998,1.482545718409919
18,278.0,172.0,302.0,281.0,248.0,149.0,348.0,131.0,271.0,227.0,329.0,219.0,21.0,179.0,278.0,183.0,-28.0,523.0,3.122276604225982,-0.5629481662253172,1.4859790404914246
19,278.0,171.0,301.0,281.0,249.0,148.0,347.0,131.0,271.0,226.0,328.0,219.0,16.0,174.0,277.0,182.0,-43.0,507.0,3.131292426102512,-0.5918946265698289,1.4909927707620731
20,278.0,172.0,302.0,281.0,248.0,149.0,348.0,131.0,271.0,227.0,329.0,219.0,21.0,179.0,278.0,183.0,-28.0,523.0,3.122276604225982,-0.5629481662253172,1.4859790404914246
21,278.0,172.0,302.0,281.0,249.0,149.0,348.0,131.0,271.0,227.0,329.0,219.0,18.0,180.0,278.0,183.0,-34.0,523.0,3.1192478298496917,-0.575425571160187,1.4898704844367683
22,278.0,172.0,302.0,281.0,248.0,149.0,348.0,131.0,271.0,227.0,330.0,219.0,19.0,183.0,278.0,183.0,-28.0,532.0,3.112050260732126,-0.5633877404344894,1.4890316504676173
23,279.0,173.0,304.0,279.0,250.0,149.0,348.0,130.0,272.0,227.0,331.0,218.0,20.0,186.0,279.0,183.0,-26.0,527.0,3.1105984375784517,-0.5810126887963264,1.4813924370641955
24,279.0,172.0,304.0,280.0,249.0,150.0,349.0,131.0,272.0,228.0,332.0,219.0,28.0,177.0,280.0,183.0,-16.0,523.0,3.1310118786999226,-0.5451407945327996,1.4732789792687948
25,280.0,173.0,304.0,280.0,250.0,149.0,350.0,131.0,273.0,227.0,332.0,219.0,24.0,184.0,280.0,183.0,-21.0,530.0,3.1104450602197806,-0.5638454814913172,1.488813755425176
26,280.0,172.0,304.0,281.0,250.0,150.0,350.0,131.0,273.0,228.0,332.0,219.0,23.0,177.0,280.0,183.0,-26.0,524.0,3.129990562881797,-0.5628130979327934,1.4783075705359976
27,280.0,172.0,305.0,280.0,250.0,149.0,350.0,130.0,273.0,228.0,332.0,218.0,24.0,179.0,280.0,182.0,-21.0,525.0,3.1269101525449163,-0.5608049104553863,1.4744999118617417
28,280.0,172.0,305.0,280.0,250.0,150.0,350.0,130.0,274.0,227.0,333.0,218.0,25.0,179.0,281.0,182.0,-19.0,524.0,3.128903063910713,-0.5606194284194886,1.4700835022056047
29,280.0,172.0,305.0,280.0,250.0,150.0,350.0,130.0,273.0,228.0,333.0,218.0,25.0,175.0,281.0,182.0,-20.0,522.0,3.1373133125296313,-0.5558181107959526,1.4670452450221148
30,280.0,172.0,304.0,280.0,250.0,149.0,350.0,130.0,273.0,227.0,333.0,218.0,23.0,178.0,280.0,182.0,-24.0,526.0,3.124384484743951,-0.5615861582929442,1.4791145033283466
31,280.0,173.0,304.0,280.0,250.0,149.0,350.0,130.0,273.0,228.0,332.0,219.0,19.0,181.0,280.0,183.0,-30.0,529.0,3.1195912401166,-0.5733618193162724,1.4819766126281337
32,280.0,172.0,305.0,281.0,249.0,149.0,350.0,130.0,273.0,228.0,333.0,219.0,22.0,183.0,280.0,183.0,-20.0,539.0,3.1156235756041966,-0.5545402623187654,1.4772728677210352
33,280.0,173.0,304.0,280.0,250.0,149.0,350.0,130.0,273.0,227.0,332.0,218.0,20.0,182.0,280.0,183.0,-27.0,528.0,3.117708411841213,-0.5727608727034056,1.4822153480091025
34,279.0,173.0,304.0,279.0,250.0,149.0,349.0,130.0,273.0,227.0,332.0,218.0,21.0,183.0,280.0,183.0,-25.0,527.0,3.1170634396477284,-0.5739305728167354,1.4789832192435588
35,279.0,173.0,304.0,279.0,249.0,149.0,349.0,130.0,273.0,227.0,332.0,218.0,24.0,183.0,280.0,183.0,-18.0,529.0,3.115245868618952,-0.5617987013544019,1.4770116099383264
36,279.0,173.0,305.0,279.0,249.0,149.0,349.0,130.0,273.0,227.0,332.0,218.0,26.0,186.0,280.0,183.0,-14.0,533.0,3.1098645954918136,-0.5593152082792917,1.475697343781839
37,279.0,173.0,303.0,280.0,249.0,148.0,349.0,130.0,272.0,227.0,331.0,218.0,17.0,186.0,279.0,183.0,-30.0,535.0,3.105114142310817,-0.5764068910029005,1.4897173838252842
38,278.0,172.0,302.0,281.0,249.0,149.0,348.0,131.0,271.0,227.0,329.0,219.0,18.0,180.0,278.0,183.0,-34.0,523.0,3.1192478298496917,-0.575425571160187,1.4898704844367683
39,278.0,172.0,303.0,282.0,247.0,149.0,347.0,131.0,270.0,228.0,329.0,219.0,23.0,176.0,278.0,183.0,-23.0,521.0,3.1343002830434563,-0.5521620223277233,1.4729710410042918
40,277.0,173.0,302.0,282.0,247.0,149.0,347.0,131.0,270.0,228.0,329.0,219.0,16.0,186.0,277.0,184.0,-30.0,536.0,3.109057837394117,-0.5680409964429181,1.4851796801458825
41,277.0,173.0,301.0,282.0,247.0,149.0,347.0,132.0,270.0,228.0,328.0,219.0,16.0,178.0,277.0,183.0,-38.0,514.0,3.1302137771578518,-0.5824650736640363,1.4833004262341951
42,277.0,173.0,301.0,281.0,247.0,150.0,346.0,131.0,270.0,228.0,329.0,219.0,16.0,184.0,277.0,184.0,-31.0,530.0,3.117153766253703,-0.5706598575438923,1.480052101902459
43,277.0,174.0,301.0,281.0,247.0,149.0,346.0,132.0,270.0,228.0,329.0,219.0,20.0,191.0,277.0,184.0,-23.0,536.0,3.095829600763151,-0.5666027794540484,1.4922707907580455
44,277.0,174.0,301.0,281.0,247.0,150.0,346.0,132.0,270.0,228.0,329.0,219.0,19.0,187.0,277.0,184.0,-26.0,532.0,3.1084968890815077,-0.5676928557998727,1.4848803215507191
45,277.0,174.0,301.0,281.0,247.0,150.0,346.0,131.0,270.0,228.0,329.0,219.0,15.0,187.0,277.0,184.0,-32.0,532.0,3.1119661868453115,-0.5756049548329126,1.4815263925231577
46,277.0,173.0,301.0,281.0,247.0,150.0,346.0,132.0,270.0,228.0,329.0,219.0,21.0,184.0,277.0,184.0,-25.0,529.0,3.1140896370466162,-0.5625923050048507,1.4832574215989867
