,nosetip_x,nosetip_y,chin_x,chin_y,left_eye_corner_x,left_eye_corner_y,right_eye_corner_x,right_eye_corner_y,left_mouth_corner_x,left_mouth_corner_y,right_mouth_corner_x,right_mouth_corner_y,nose_end_point_x,nose_end_point_y,head_pose1_x,head_pose1_y,head_pose2_x,head_pose2_y,jerk_expected
41,464.0,1113.0,490.0,1262.0,431.0,1044.0,578.0,1056.0,449.0,1175.0,541.0,1182.0,85,1192,466,1122,-2010,6412,1
42,464.0,1114.0,492.0,1263.0,430.0,1045.0,578.0,1056.0,450.0,1177.0,542.0,1183.0,83,1202,466,1124,-1990,6570,1
43,465.0,1117.0,495.0,1262.0,432.0,1046.0,578.0,1057.0,452.0,1177.0,544.0,1183.0,86,1212,468,1125,-1691,5816,1
44,465.0,1114.0,492.0,1263.0,433.0,1045.0,579.0,1056.0,451.0,1175.0,543.0,1181.0,80,1195,467,1123,-2022,6223,1
45,465.0,1116.0,493.0,1262.0,433.0,1047.0,579.0,1056.0,451.0,1176.0,544.0,1181.0,90,1192,468,1123,-1892,6117,1
46,466.0,1115.0,495.0,1264.0,432.0,1046.0,580.0,1055.0,451.0,1176.0,545.0,1182.0,85,1202,468,1124,-2040,6841,1
47,466.0,1114.0,494.0,1264.0,433.0,1046.0,580.0,1055.0,451.0,1176.0,545.0,1182.0,83,1194,468,1123,-2174,6939,1
48,465.0,1116.0,493.0,1263.0,432.0,1047.0,580.0,1055.0,451.0,1176.0,545.0,1181.0,89,1190,468,1123,-2106,6915,1
49,467.0,1113.0,493.0,1263.0,432.0,1047.0,581.0,1055.0,450.0,1175.0,545.0,1180.0,103,1181,470,1121,-2009,7030,1
50,467.0,1114.0,493.0,1263.0,432.0,1047.0,581.0,1055.0,451.0,1176.0,545.0,1181.0,98,1184,470,1122,-2074,7055,1
51,467.0,1113.0,492.0,1263.0,432.0,1047.0,580.0,1056.0,451.0,1175.0,545.0,1180.0,101,1184,469,1122,-1893,6533,1
52,466.0,1113.0,494.0,1262.0,434.0,1047.0,579.0,1055.0,453.0,1175.0,545.0,1180.0,90,1188,469,1122,-1900,6041,1
53,465.0,1112.0,493.0,1262.0,434.0,1045.0,579.0,1054.0,452.0,1175.0,544.0,1181.0,80,1187,468,1121,-2191,6528,1
