,nosetip_x,nosetip_y,chin_x,chin_y,left_eye_corner_x,left_eye_corner_y,right_eye_corner_x,right_eye_corner_y,left_mouth_corner_x,left_mouth_corner_y,right_mouth_corner_x,right_mouth_corner_y,nose_end_point_x,nose_end_point_y,head_pose1_x,head_pose1_y,head_pose2_x,head_pose2_y
88,592.0,1331.0,525.0,1551.0,394.0,1215.0,651.0,1182.0,448.0,1426.0,600.0,1405.0,1491,1816,581,1336,3459,2576
89,593.0,1332.0,525.0,1552.0,394.0,1215.0,651.0,1181.0,449.0,1428.0,601.0,1407.0,1508,1817,583,1337,3421,2545
90,593.0,1330.0,527.0,1552.0,394.0,1216.0,650.0,1182.0,450.0,1427.0,602.0,1405.0,1491,1795,582,1336,3491,2569
91,593.0,1333.0,525.0,1554.0,393.0,1215.0,650.0,1182.0,449.0,1428.0,601.0,1407.0,1516,1814,583,1337,3449,2568
92,597.0,1333.0,529.0,1554.0,396.0,1215.0,653.0,1180.0,452.0,1429.0,603.0,1408.0,1538,1816,587,1337,3355,2485
93,592.0,1339.0,528.0,1554.0,391.0,1220.0,651.0,1181.0,451.0,1431.0,605.0,1408.0,1523,1856,583,1341,3518,2585
94,591.0,1340.0,527.0,1555.0,389.0,1222.0,653.0,1182.0,450.0,1429.0,607.0,1407.0,1506,1890,581,1343,3882,2900
95,591.0,1341.0,529.0,1558.0,391.0,1219.0,651.0,1182.0,450.0,1431.0,607.0,1409.0,1545,1863,584,1342,3736,2779
96,593.0,1337.0,527.0,1555.0,392.0,1217.0,649.0,1179.0,449.0,1431.0,601.0,1407.0,1555,1842,584,1339,3140,2297
97,591.0,1340.0,528.0,1559.0,391.0,1220.0,651.0,1182.0,449.0,1431.0,607.0,1409.0,1543,1866,583,1342,3730,2778
98,593.0,1342.0,528.0,1558.0,391.0,1220.0,652.0,1180.0,449.0,1433.0,606.0,1410.0,1564,1887,585,1343,3499,2598
99,591.0,1341.0,529.0,1558.0,388.0,1220.0,651.0,1181.0,449.0,1431.0,608.0,1409.0,1540,1873,582,1342,4003,2982
100,590.0,1340.0,530.0,1558.0,387.0,1219.0,651.0,1179.0,449.0,1431.0,609.0,1408.0,1551,1874,582,1341,4105,3049
101,585.0,1341.0,525.0,1557.0,384.0,1219.0,649.0,1180.0,445.0,1430.0,604.0,1408.0,1533,1889,578,1342,4028,3024
102,592.0,1337.0,530.0,1556.0,390.0,1219.0,649.0,1180.0,451.0,1431.0,608.0,1408.0,1532,1828,583,1339,3757,2746
103,590.0,1336.0,528.0,1554.0,388.0,1218.0,649.0,1177.0,449.0,1429.0,605.0,1406.0,1538,1849,582,1338,3600,2632
104,586.0,1335.0,523.0,1555.0,386.0,1217.0,648.0,1179.0,444.0,1427.0,602.0,1405.0,1519,1861,578,1338,3767,2812
105,587.0,1335.0,526.0,1556.0,385.0,1217.0,648.0,1177.0,445.0,1429.0,603.0,1405.0,1540,1857,579,1338,3768,2780
106,585.0,1337.0,522.0,1557.0,386.0,1217.0,645.0,1180.0,443.0,1429.0,601.0,1408.0,1533,1845,578,1339,3627,2701
107,591.0,1336.0,529.0,1556.0,388.0,1218.0,649.0,1177.0,449.0,1431.0,606.0,1407.0,1551,1843,583,1338,3654,2670
108,589.0,1336.0,527.0,1558.0,387.0,1218.0,648.0,1179.0,446.0,1430.0,605.0,1408.0,1540,1841,580,1339,3863,2858
109,587.0,1335.0,522.0,1557.0,386.0,1216.0,648.0,1178.0,443.0,1428.0,601.0,1406.0,1544,1866,579,1339,3640,2725
110,589.0,1334.0,524.0,1556.0,385.0,1214.0,650.0,1174.0,445.0,1430.0,601.0,1405.0,1574,1874,581,1337,3549,2634
111,589.0,1335.0,524.0,1559.0,385.0,1214.0,648.0,1176.0,444.0,1430.0,603.0,1407.0,1577,1858,581,1338,3749,2798
112,592.0,1335.0,527.0,1557.0,387.0,1214.0,647.0,1173.0,448.0,1432.0,601.0,1406.0,1603,1842,584,1337,3159,2297
113,591.0,1334.0,528.0,1557.0,387.0,1212.0,648.0,1171.0,446.0,1430.0,601.0,1403.0,1619,1860,585,1336,3176,2316
114,593.0,1336.0,525.0,1558.0,389.0,1216.0,649.0,1175.0,446.0,1433.0,602.0,1406.0,1595,1872,584,1339,3155,2315
115,596.0,1333.0,533.0,1556.0,391.0,1215.0,652.0,1175.0,451.0,1430.0,608.0,1405.0,1574,1835,587,1336,3650,2662
116,596.0,1335.0,535.0,1556.0,391.0,1218.0,653.0,1178.0,454.0,1430.0,611.0,1407.0,1544,1826,586,1337,4035,2944
117,600.0,1332.0,537.0,1554.0,394.0,1213.0,654.0,1173.0,455.0,1431.0,610.0,1405.0,1590,1820,591,1334,3539,2558
118,601.0,1330.0,534.0,1556.0,397.0,1212.0,654.0,1175.0,457.0,1429.0,610.0,1405.0,1588,1805,592,1334,3403,2483
119,602.0,1330.0,534.0,1556.0,400.0,1210.0,658.0,1175.0,456.0,1428.0,609.0,1404.0,1599,1833,593,1334,3363,2495
120,603.0,1331.0,535.0,1555.0,401.0,1211.0,659.0,1175.0,458.0,1430.0,609.0,1406.0,1597,1829,595,1335,3302,2441
121,605.0,1333.0,543.0,1554.0,400.0,1215.0,661.0,1177.0,461.0,1429.0,617.0,1406.0,1562,1822,595,1335,4065,2973
122,605.0,1333.0,539.0,1557.0,403.0,1214.0,662.0,1179.0,461.0,1429.0,615.0,1407.0,1575,1830,596,1337,3769,2800
123,604.0,1338.0,540.0,1557.0,402.0,1220.0,664.0,1182.0,463.0,1431.0,620.0,1408.0,1543,1867,595,1341,4176,3115
124,606.0,1342.0,548.0,1556.0,400.0,1224.0,665.0,1180.0,467.0,1432.0,627.0,1408.0,1546,1883,596,1342,4709,3452
125,606.0,1343.0,546.0,1553.0,400.0,1226.0,665.0,1183.0,466.0,1430.0,624.0,1406.0,1506,1897,594,1344,4473,3291
126,611.0,1339.0,550.0,1554.0,404.0,1224.0,669.0,1183.0,470.0,1430.0,629.0,1406.0,1507,1869,598,1342,5013,3708
127,616.0,1336.0,552.0,1560.0,415.0,1224.0,674.0,1185.0,474.0,1432.0,632.0,1410.0,1539,1843,605,1342,4511,3347
128,617.0,1338.0,556.0,1559.0,414.0,1225.0,676.0,1183.0,477.0,1432.0,637.0,1409.0,1545,1865,607,1343,4952,3662
129,615.0,1338.0,553.0,1558.0,412.0,1225.0,676.0,1185.0,475.0,1433.0,633.0,1411.0,1517,1860,604,1343,5206,3902
130,616.0,1334.0,554.0,1557.0,416.0,1223.0,675.0,1185.0,477.0,1430.0,633.0,1409.0,1515,1820,606,1340,4761,3519
131,619.0,1336.0,555.0,1557.0,417.0,1223.0,676.0,1183.0,477.0,1431.0,635.0,1408.0,1546,1852,608,1341,4424,3261
132,620.0,1335.0,555.0,1558.0,416.0,1223.0,677.0,1184.0,476.0,1432.0,635.0,1409.0,1536,1846,607,1341,4842,3599
133,619.0,1335.0,552.0,1558.0,420.0,1223.0,676.0,1186.0,476.0,1429.0,632.0,1409.0,1534,1841,608,1342,4152,3093
