,nosetip_x,nosetip_y,chin_x,chin_y,left_eye_corner_x,left_eye_corner_y,right_eye_corner_x,right_eye_corner_y,left_mouth_corner_x,left_mouth_corner_y,right_mouth_corner_x,right_mouth_corner_y,nose_end_point_x,nose_end_point_y,head_pose1_x,head_pose1_y,head_pose2_x,head_pose2_y
0,449.0,1119.0,477.0,1271.0,418.0,1051.0,562.0,1063.0,437.0,1184.0,525.0,1191.0,44,1211,450,1131,-2265,6250
1,451.0,1118.0,477.0,1269.0,419.0,1049.0,563.0,1063.0,437.0,1182.0,526.0,1189.0,50,1211,451,1129,-2067,5893
2,451.0,1119.0,477.0,1265.0,416.0,1049.0,563.0,1061.0,436.0,1180.0,527.0,1187.0,73,1213,452,1128,-1709,5741
3,453.0,1119.0,477.0,1270.0,417.0,1049.0,565.0,1063.0,436.0,1183.0,528.0,1191.0,59,1217,453,1130,-2131,6665
4,454.0,1118.0,478.0,1272.0,419.0,1050.0,566.0,1063.0,437.0,1183.0,528.0,1190.0,57,1203,453,1129,-2517,7311
5,454.0,1119.0,480.0,1269.0,421.0,1050.0,566.0,1063.0,440.0,1183.0,529.0,1190.0,57,1212,454,1130,-2014,5929
6,455.0,1119.0,481.0,1269.0,421.0,1050.0,567.0,1062.0,439.0,1182.0,531.0,1189.0,65,1210,455,1129,-2046,6330
7,456.0,1117.0,481.0,1269.0,423.0,1050.0,568.0,1062.0,440.0,1182.0,531.0,1189.0,69,1191,457,1128,-2349,6877
8,456.0,1119.0,482.0,1269.0,421.0,1050.0,567.0,1061.0,440.0,1182.0,533.0,1188.0,66,1211,456,1129,-2093,6603
9,456.0,1118.0,485.0,1269.0,423.0,1050.0,569.0,1060.0,442.0,1183.0,534.0,1188.0,64,1207,458,1128,-2302,7005
10,455.0,1119.0,486.0,1268.0,423.0,1050.0,569.0,1060.0,441.0,1182.0,534.0,1188.0,68,1212,458,1129,-2095,6687
11,455.0,1120.0,482.0,1266.0,422.0,1048.0,568.0,1061.0,440.0,1180.0,533.0,1187.0,68,1215,457,1128,-1868,6018
12,455.0,1118.0,483.0,1267.0,422.0,1048.0,568.0,1060.0,440.0,1180.0,533.0,1187.0,67,1208,457,1127,-2117,6677
13,454.0,1123.0,484.0,1267.0,421.0,1050.0,568.0,1061.0,440.0,1182.0,533.0,1189.0,67,1223,456,1130,-1869,6226
